student_id,location,age,sql_marks,excel_marks,python_marks,power_bi_marks,english_marks
4,Sydney,24,95,99,87,82,75
5,Tokyo,24,99,95,89,86,82
6,Berlin,22,72,70,99,79,77
7,London,23,97,90,74,72,85
8,Tokyo,22,91,71,79,80,75
9,Toronto,20,93,88,75,93,72
10,Tokyo,18,77,87,100,98,93
11,Toronto,21,78,90,88,79,72
12,Melbourne,24,80,95,87,90,94
13,London,19,97,80,96,97,86
14,Toronto,20,81,74,88,99,96
15,Paris,24,94,93,87,80,71
16,Tokyo,19,73,82,78,70,84
17,Tokyo,25,82,75,77,78,85
18,Melbourne,19,89,76,96,93,71
19,Paris,22,72,92,70,82,83
20,Berlin,25,92,87,81,79,98
21,Toronto,24,85,96,84,71,96
22,Los Angeles,22,83,73,100,75,85
23,New York,18,80,73,94,89,100
24,Berlin,20,74,85,96,95,75
25,Paris,20,92,98,94,74,77
26,Sydney,18,90,91,89,94,93
27,Toronto,21,92,79,93,82,99
28,Los Angeles,25,84,85,82,96,75
29,Berlin,20,92,82,98,76,71
30,Tokyo,20,80,98,75,81,83
31,London,23,78,80,71,82,92
32,Sydney,24,94,74,99,92,79
33,Tokyo,19,74,98,84,90,93
34,Toronto,21,83,99,82,93,71
35,Paris,23,96,74,89,86,92
36,Berlin,21,76,86,87,87,82
37,Tokyo,23,98,94,77,83,92
38,Berlin,21,100,95,78,73,77
39,Melbourne,20,88,99,99,92,89
40,New York,22,70,78,79,100,85
41,Berlin,24,86,74,92,85,76
42,Paris,19,70,98,75,83,71
43,Sydney,21,96,89,72,71,96
44,New York,22,91,78,81,72,78
45,Los Angeles,21,94,79,83,88,93
46,Los Angeles,24,90,96,84,91,71
47,Berlin,21,79,70,91,81,73
48,Los Angeles,20,88,83,77,93,92
49,Paris,21,87,74,70,98,89
50,New York,22,99,70,81,79,76
51,London,23,96,96,71,74,100
52,Sydney,20,100,88,75,70,83
53,Paris,20,82,78,71,83,99
54,Paris,21,86,81,94,82,73
55,Paris,22,72,79,99,95,73
56,Tokyo,18,87,99,79,92,70
57,Sydney,25,87,89,70,83,71
58,Paris,24,87,74,82,100,82
59,New York,21,91,98,95,88,72
60,New York,19,95,94,94,83,78
61,Melbourne,24,97,77,84,79,98
62,Tokyo,24,92,78,89,79,86
63,New York,22,90,98,76,83,96
64,Los Angeles,20,71,71,94,75,84
65,Los Angeles,24,71,98,86,76,87
66,Melbourne,20,70,88,77,72,81
67,Tokyo,22,81,78,91,94,95
68,Sydney,25,94,83,73,93,88
69,Tokyo,19,80,73,85,91,78
70,Berlin,23,81,100,83,93,78
71,Paris,24,83,95,98,80,85
72,Berlin,25,91,73,83,88,70
73,Berlin,24,75,92,92,96,70
74,Paris,22,81,100,78,96,99
75,Los Angeles,25,99,79,92,92,84
76,Berlin,25,73,86,95,70,74
77,London,24,78,98,92,78,90
78,Sydney,19,76,87,72,100,72
79,New York,22,95,90,91,86,72
80,Melbourne,20,88,73,72,89,73
81,Melbourne,22,93,98,79,87,88
82,Berlin,23,85,85,87,81,91
83,Tokyo,19,96,82,89,75,84
84,London,23,100,80,74,70,85
85,London,19,71,93,89,89,98
86,New York,25,93,88,93,85,99
