size (cm),shape,weight (g),avg_price (₹),color,taste,fruit_name
25.4,round,3089.2,137.1,green,sweet,watermelon
24.6,round,3283.9,163.8,green,sweet,watermelon
7.8,round,319,91.3,green,sweet,custard apple
20,oval,1607,85.7,orange,sweet,papaya
10.2,long,131.5,37.8,yellow,sweet,banana
19.4,oval,1404.1,86,orange,sweet,papaya
6.3,round,262.3,125,red,sweet,pomegranate
0.9,round,5.4,9.4,purple,sweet,grape
4,round,46.4,66.9,purple,tangy,plum
7.6,round,274.7,93,green,sweet,custard apple
7.3,round,213.3,65.5,green,sour,guava
1,round,5.1,38,blue,sweet,blueberry
18.9,round,1212.2,101.1,brown,sweet,coconut
3,oval,9.7,31.8,red,sweet,cherry
8.5,oval,260.3,110.3,yellow,sweet,mango
16.9,round,1123.6,109.4,brown,sweet,coconut
6.7,round,242.3,127.2,red,sweet,pomegranate
9.2,oval,249.3,121.9,yellow,sweet,mango
7.5,round,195.4,56.7,green,sour,guava
15.1,oval,1305.2,98.6,brown,tangy,pineapple
15.2,oval,1091.9,81.4,brown,tangy,pineapple
8.5,round,314.4,91.2,green,sweet,custard apple
9.4,oval,228.8,109.2,yellow,sweet,mango
16.2,round,1144,106.9,brown,sweet,coconut
0.9,round,4.8,9,purple,sweet,grape
8.8,oval,177.8,74.6,green,sweet,pear
15.3,oval,1262,88.9,brown,tangy,pineapple
2.1,round,13.6,54.7,pink,sweet,lychee
1,round,4.9,9.3,purple,sweet,grape
13.5,oval,1312.2,89.9,brown,tangy,pineapple
5.4,round,136,80.2,red,sweet,apple
18.6,round,1202.9,102.3,brown,sweet,coconut
6.6,round,217.2,63.9,green,sour,guava
9.8,long,118.1,37.1,yellow,sweet,banana
14.5,oval,1293,91.1,brown,tangy,pineapple
4,round,52.9,67.8,purple,tangy,plum
4.3,round,45,71.5,purple,tangy,plum
7.3,round,253.3,129.9,red,sweet,pomegranate
15.9,oval,1102.9,86.9,brown,tangy,pineapple
2.7,oval,10.1,27.3,red,sweet,cherry
9,long,126,37.6,yellow,sweet,banana
4,round,52.8,72.2,purple,tangy,plum
9.3,long,117.3,36.5,yellow,sweet,banana
27.2,round,2818.8,148.4,green,sweet,watermelon
6.2,round,147.6,83.4,red,sweet,apple
2.2,round,13.8,53.1,pink,sweet,lychee
1,round,4.9,10.2,purple,sweet,grape
1,round,4.7,36.9,blue,sweet,blueberry
5.9,round,149.9,73.8,red,sweet,apple
9.7,oval,266.3,127.6,yellow,sweet,mango
24.8,round,3274.4,148.3,green,sweet,watermelon
6.9,round,200.1,63.9,green,sour,guava
6.8,round,237.4,121.4,red,sweet,pomegranate
5.2,oval,45.4,20.5,orange,tangy,orange
10.1,oval,401.4,151.2,pink,sweet,dragon fruit
4.9,oval,80.5,97.5,brown,tangy,kiwi
9.2,oval,251.4,130.2,yellow,sweet,mango
21.6,oval,1490.5,84.5,orange,sweet,papaya
13.7,oval,1179.8,92.9,brown,tangy,pineapple
8,oval,188.1,68,green,sweet,pear
3.1,oval,19.7,64.7,red,sweet,strawberry
9.2,oval,263.4,131.5,yellow,sweet,mango
7.5,round,304.8,94,green,sweet,custard apple
5.8,round,138,86.1,red,sweet,apple
1,round,4.9,9.2,purple,sweet,grape
10.2,oval,421.8,140.2,pink,sweet,dragon fruit
16.3,oval,1178.8,90.1,brown,tangy,pineapple
